Date,Screen Name,Tweet Text,Tweet ID,Followers,Retweets,Favorites,Verfied,Location
5/9/16,@eleerijamiliea,RT @hakims55: He deserve all the respect. https://t.co/utrfYpR5v9,7.30E+17,165,34475,0,No,La La Land
5/9/16,@akintosh,@CelineBulaong basta wag lang si B.,7.30E+17,127,0,0,No,Singapore
5/9/16,@breakingxsticks,@ooobobee when your paper?,7.30E+17,139,0,0,No,Singapore
5/9/16,@FyrizM,RT @tarayquen: Sa fandom din ito nanggaling ang isusulat nila..Awwwwww . #DolceAmoreOneCallAway,7.30E+17,2056,14,0,No,Biliran Prov. and Makati City
5/9/16,@kshndrh,"My body finally shut down.. The 3 basic disease taking over.. Haha... Cough, fever, running nose.. Hahah!_ô»‹",7.30E+17,55,0,0,No,Singapore
5/9/16,@fhxmc,@irnikapoor free?,7.30E+17,257,0,0,No,Singapore
5/9/16,@rajprasadnaidu,@ShaalV CB dey I sot.,7.30E+17,1034,0,0,No,Singapore
5/9/16,@hahaheeheehoho_,AYYYYYY _ô_ñ_ô»ë_ôé @ Temasek Polytechnic https://t.co/pWB9umNYIT,7.30E+17,227,0,0,No,
5/9/16,@lucillelucylucy,Binoto ko si Leni para sa transportation #LeniIsMyVP #BinotoKoSiLeni,7.30E+17,7,0,0,No,Singapore
5/9/16,@altrex_22,This is so cute... https://t.co/pti6HORvhS,7.30E+17,42,0,0,No,Singapore
5/9/16,@gabymooma,RT @joseph_elbert: #PHVote SMILE muna! Samahang Miriam-Leni #MIRIAMforPRESIDENT #LeniIsMyVP,7.30E+17,244,2,0,No,"National Capital Region, Repub"
5/9/16,@nikaelarandi,"RT @Medyomaldito: Luoy kaayo ang Pilipinas kung naay mag cheat. Kay if naay mag cheat, naay mag reklamo then mo gubot ang Pilipinas. Then mäó_",7.30E+17,2405,308,0,No,honeymoon í£ve.
5/9/16,@AdysssID,"RT @MerryRiana: Sering kita kehilangan banyak sekali KESEMPATAN hanya karena kita ""tidak siap"". #MR",7.30E+17,889,50,0,No,"Aceh, Indonesia"
5/9/16,@BosanJadiAlay,Sell : #Unisex Sport Running Bum Bag Travel Handäó_ singapore https://t.co/gmVFuCENyx,7.30E+17,890,0,0,No,Singapore
5/9/16,@sghousehub,Keane back with a bang as Galaxy send Revolution reeling: Robbie Keane was firing on all cylinders on his ret... https://t.co/jEwEdfTdj8,7.30E+17,7669,0,0,No,singapore
5/9/16,@LucasLZY,RT @nwdiahh: This comment wins HAHAHAHAHA https://t.co/a7zGaWh3aZ,7.30E+17,244,1551,0,No,ig&sc:lucasleowzy
5/9/16,@mdvviangg,"RT @bentunvfivh: ""are you okay?"" --- everyone asks, but no one really cares.",7.30E+17,125,23,0,No,62
5/9/16,@HVNVHISML,RT @fentyhaus: Ready for summer? #THEFURSLIDE is finally here in Singapore! Yours at only $79! Get yours now! https://t.co/swA5JW7GV8,7.30E+17,312,7,0,No,The Hadifs Momma ä«
5/9/16,@sendesignz,6 Simple Ways to #Improve Your #Communication Skills with #Clients https://t.co/M5iGEsKbTT https://t.co/bGyQaFcC0Z,7.30E+17,1403,0,0,No,Singapore
5/9/16,@KazukiWolf,@ArcticSkyWolf @laetansx @spacewolfe Oh my gosh. I'm done >\\\\&gt;,7.30E+17,572,0,0,No,Singapore
5/9/16,@iamlailah2,SO PRETTY #ALDUBinITALYDay1 https://t.co/3x4mNHdswn,7.30E+17,39,0,0,No,Singapore
5/9/16,@FafaaGjes,"RT @izz_ikhwan97: ""Bukan dulu rapat ke dengan dia?"" ""Aah"" ""Sekarang tak dah?"" ""Hati orang kita tak boleh terlalu memaksa"" It hurts everäó_",7.30E+17,3187,68,0,No,"Melaka, Malaysia."
5/9/16,@adoringjinri,RT @yulslayed: yoona's laughter everytime she and yuri are together https://t.co/wHyWNpkjz5,7.30E+17,48,120,0,No,
5/9/16,@syahirJAred,"@imbenji94 of course !! UNIQLO Kluang, met this ah moi while queuing, very pretty, _ôÖ¥Ÿ_ôÖ¥Ÿ",7.30E+17,515,0,0,No,"Johore, Malaysia"
5/9/16,@supkosong,@FakhariAizat pondan,7.30E+17,227,0,0,No,"Johor Bahru, Johor"
5/9/16,@feeflyxo,But its so much cheaper!!!! Haha but the risk is there ah. K la k la I'll fork out more money for a full service airline la _ôÖ‰,7.30E+17,1439,0,0,No,Singapore
5/9/16,@YiWei_Hehe,Damn throat.... last warning ah.....,7.30E+17,277,0,0,No,Singapore
5/9/16,@loveforwh,@MhiszCathe @ritzbitzzz_ read this ^^ https://t.co/yhNIIfNGWl,7.30E+17,48,2,2,No,Singapore
5/9/16,@sarongaku,Sejuk gile punat stim sia satu hari abeh baju putih haiyo,7.30E+17,175,0,0,No,Singapore
